Date,X2
28-Sep-00,77.676
29-Sep-00,78.149
30-Sep-00,78.57
1-Oct-00,78.495
2-Oct-00,78.471
3-Oct-00,78.421
4-Oct-00,78.128
5-Oct-00,77.529
6-Oct-00,77.322
7-Oct-00,76.943
8-Oct-00,76.798
9-Oct-00,77.404
10-Oct-00,78.285
11-Oct-00,78.438
12-Oct-00,78.219
13-Oct-00,78.235
14-Oct-00,79.166
15-Oct-00,79.884
16-Oct-00,79.994
17-Oct-00,80.276
18-Oct-00,80.172
19-Oct-00,80.067
20-Oct-00,80.045
21-Oct-00,79.185
22-Oct-00,78.914
23-Oct-00,79.6
24-Oct-00,79.966
25-Oct-00,80.984
26-Oct-00,82.157
27-Oct-00,81.906
28-Oct-00,82.114
29-Oct-00,81.877
30-Oct-00,81.466
31-Oct-00,80.618
1-Nov-00,80.405
2-Nov-00,80.737
3-Nov-00,80.833
4-Nov-00,80.853
5-Nov-00,80.594
6-Nov-00,80.471
7-Nov-00,80.564
8-Nov-00,81.798
9-Nov-00,82.629
10-Nov-00,84.265
11-Nov-00,84.499
12-Nov-00,84.37
13-Nov-00,85.781
14-Nov-00,86.366
15-Nov-00,86.561
16-Nov-00,86.464
17-Nov-00,85.912
18-Nov-00,85.397
19-Nov-00,85.228
20-Nov-00,85.707
21-Nov-00,86.181
22-Nov-00,86.179
23-Nov-00,86.074
24-Nov-00,86.281
25-Nov-00,87.035
26-Nov-00,87.375
27-Nov-00,87.643
28-Nov-00,88.12
29-Nov-00,88.693
30-Nov-00,87.408
1-Dec-00,87.003
2-Dec-00,86.426
3-Dec-00,85.904
4-Dec-00,85.658
5-Dec-00,85.494
6-Dec-00,85.595
7-Dec-00,86.228
8-Dec-00,87.257
9-Dec-00,87.758
10-Dec-00,88.645
11-Dec-00,88.945
12-Dec-00,89.429
13-Dec-00,89.608
14-Dec-00,88.85
15-Dec-00,87.842
16-Dec-00,87.239
17-Dec-00,86.744
18-Dec-00,86.552
19-Dec-00,86.938
20-Dec-00,87.579
21-Dec-00,88.126
22-Dec-00,88.316
23-Dec-00,88.738
24-Dec-00,88.615
25-Dec-00,88.909
26-Dec-00,88.976
27-Dec-00,88.819
28-Dec-00,88.712
29-Dec-00,88.37
30-Dec-00,87.976
31-Dec-00,87.325
1-Jan-01,86.304
2-Jan-01,85.23
3-Jan-01,84.169
4-Jan-01,84.449
5-Jan-01,84.992
6-Jan-01,85.595
7-Jan-01,86.207
8-Jan-01,86.911
9-Jan-01,86.116
10-Jan-01,87.399
11-Jan-01,87.27
12-Jan-01,84.895
13-Jan-01,82.975
14-Jan-01,82.145
15-Jan-01,81.632
16-Jan-01,80.696
17-Jan-01,80.032
18-Jan-01,80.31
19-Jan-01,80.483
20-Jan-01,81.111
21-Jan-01,81.051
22-Jan-01,81.213
23-Jan-01,81.601
24-Jan-01,80.753
25-Jan-01,80.157
26-Jan-01,80.175
27-Jan-01,79.452
28-Jan-01,78.079
29-Jan-01,75.96
30-Jan-01,75.194
31-Jan-01,75.048
1-Feb-01,74.32
2-Feb-01,72.805
3-Feb-01,71.942
4-Feb-01,71.691
5-Feb-01,71.789
6-Feb-01,71.181
7-Feb-01,69.958
8-Feb-01,69.629
9-Feb-01,69.901
10-Feb-01,69.239
11-Feb-01,68.408
12-Feb-01,67.232
13-Feb-01,66.834
14-Feb-01,65.25
15-Feb-01,64.377
16-Feb-01,64.747
17-Feb-01,65.592
18-Feb-01,65.099
19-Feb-01,66.666
20-Feb-01,65.257
21-Feb-01,64.425
22-Feb-01,64.973
23-Feb-01,64.083
24-Feb-01,65.139
25-Feb-01,63.85
26-Feb-01,63.832
27-Feb-01,63.731
28-Feb-01,63.596
1-Mar-01,63.167
2-Mar-01,63.68
3-Mar-01,63.922
4-Mar-01,67.084
5-Mar-01,64.888
6-Mar-01,64.829
7-Mar-01,64.872
8-Mar-01,64.43
9-Mar-01,64.769
10-Mar-01,64.574
11-Mar-01,64.244
12-Mar-01,64.07
13-Mar-01,63.776
14-Mar-01,63.543
15-Mar-01,62.963
16-Mar-01,63.007
17-Mar-01,63.119
18-Mar-01,63.306
19-Mar-01,63.472
20-Mar-01,63.844
21-Mar-01,63.467
22-Mar-01,63.242
23-Mar-01,63.295
24-Mar-01,63.682
25-Mar-01,63.296
26-Mar-01,62.972
27-Mar-01,63.288
28-Mar-01,63.468
29-Mar-01,63.986
30-Mar-01,64.367
31-Mar-01,64.755
1-Apr-01,65.675
2-Apr-01,65.635
3-Apr-01,66.19
4-Apr-01,67.17
5-Apr-01,68.468
6-Apr-01,69.488
7-Apr-01,70.273
8-Apr-01,70.051
9-Apr-01,71.682
10-Apr-01,72.261
11-Apr-01,72.578
12-Apr-01,72.581
13-Apr-01,72.543
14-Apr-01,72.331
15-Apr-01,72.257
16-Apr-01,72.417
17-Apr-01,72.124
18-Apr-01,72.9
19-Apr-01,73.565
20-Apr-01,74.977
21-Apr-01,74.944
22-Apr-01,73.958
23-Apr-01,74.423
24-Apr-01,76.095
25-Apr-01,77.557
26-Apr-01,78.314
27-Apr-01,78.412
28-Apr-01,78.192
29-Apr-01,77.552
30-Apr-01,77.063
1-May-01,76.249
2-May-01,75.976
3-May-01,76.471
4-May-01,77.387
5-May-01,78.034
6-May-01,78.626
7-May-01,78.629
8-May-01,79.055
9-May-01,79.764
10-May-01,79.605
11-May-01,79.321
12-May-01,78.809
13-May-01,77.34
14-May-01,75.691
15-May-01,74.672
16-May-01,74.298
17-May-01,74.596
18-May-01,75.125
19-May-01,75.705
20-May-01,76.53
21-May-01,77.726
22-May-01,78.186
23-May-01,78.271
24-May-01,78.372
25-May-01,78.721
26-May-01,78.969
27-May-01,79.004
28-May-01,78.227
29-May-01,76.834
30-May-01,75.892
31-May-01,76.244
1-Jun-01,77.07
2-Jun-01,77.493
3-Jun-01,78.048
4-Jun-01,79.096
5-Jun-01,79.778
6-Jun-01,80.043
7-Jun-01,80.422
8-Jun-01,80.773
9-Jun-01,80.557
10-Jun-01,80.441
11-Jun-01,80.068
12-Jun-01,79.694
13-Jun-01,79.259
14-Jun-01,79.531
15-Jun-01,79.829
16-Jun-01,80.26
17-Jun-01,80.905
18-Jun-01,81.737
19-Jun-01,82.561
20-Jun-01,83.462
21-Jun-01,83.952
22-Jun-01,84.331
23-Jun-01,84.589
24-Jun-01,84.28
25-Jun-01,83.91
26-Jun-01,83.804
27-Jun-01,83.299
28-Jun-01,82.282
29-Jun-01,82.152
30-Jun-01,82.464
1-Jul-01,82.782
2-Jul-01,83.803
3-Jul-01,85.142
4-Jul-01,85.758
5-Jul-01,86.03
6-Jul-01,86.045
7-Jul-01,85.776
8-Jul-01,85.557
9-Jul-01,85.355
